year,wildfires,ha_forest
1986,563,65811.71
1987,352,1945.40
1988,646,3084.13
1989,670,6515.06
1990,590,1185.92
1991,782,5386.32
1992,368,1592.40
1993,791,6958.39
1994,1216,75702.10
1995,754,7344.97
1996,463,821.35
1997,672,920.92
1998,961,18361.10
1999,841,1298.25
2000,790,8058.45
2001,723,3010.02
2002,544,2039.77
2003,701,9441.85
2004,565,1048.35
2005,893,5176.27
2006,629,3287.77
2007,578,1590.86
2008,421,554.95
2009,746,3461.74
2010,475,618.13
2011,586,1096.65
2012,747,15025.67
2013,602,1068.51
2014,462,1571.29
2015,509,1602.32
2016,560,2011.01
2017,629,1294.11
2018,312,141.33
2019,545,5077.68
2020,289,132.43
2021,607,2422.28
2022,643,5834.66
2023,617,1398.19
2024,251,174.06